churn_id,customer_id,churn_date,churn_reason,churn_category,competitor,days_since_last_activity
1,4,2025-04-25,Poor Network,Service,None,85
2,5,2025-04-04,High Price,Commercial,None,13
3,9,2025-04-24,Personal Reasons,Other,None,91
4,20,2025-07-23,High Price,Commercial,None,23
5,24,2025-08-25,Competitor Offer,Commercial,Airtel,12
6,38,2025-07-08,High Price,Commercial,None,65
7,39,2025-04-21,Poor Support,Service,None,69
8,60,2025-09-05,Relocation,Other,None,40
9,70,2025-03-31,Personal Reasons,Other,None,58
10,76,2025-03-17,Personal Reasons,Other,None,8
11,93,2025-08-03,Poor Network,Service,None,43
12,102,2025-06-01,Service Quality,Service,None,20
13,110,2025-08-03,Poor Support,Service,None,15
14,112,2025-10-27,Poor Support,Service,None,26
15,128,2025-02-02,Poor Network,Service,None,93
16,133,2025-12-11,Poor Support,Service,None,21
17,134,2025-06-21,Service Quality,Service,None,69
18,143,2025-03-13,Competitor Offer,Commercial,Airtel,6
19,145,2025-09-30,High Price,Commercial,None,96
20,148,2025-09-25,Poor Support,Service,None,7
21,160,2025-10-15,Poor Network,Service,None,20
22,178,2025-06-26,Poor Network,Service,None,67
23,179,2025-10-02,Personal Reasons,Other,None,87
24,203,2025-08-29,Poor Network,Service,None,51
25,222,2025-02-01,Poor Support,Service,None,31
26,225,2025-10-21,Personal Reasons,Other,None,99
27,237,2025-03-05,Poor Support,Service,None,61
28,249,2025-04-09,Service Quality,Service,None,101
29,260,2025-12-10,Relocation,Other,None,23
30,275,2025-09-25,Relocation,Other,None,92
31,281,2025-05-21,Poor Support,Service,None,25
32,285,2025-06-19,Competitor Offer,Commercial,Vi,56
33,296,2025-11-01,Relocation,Other,None,47
34,306,2025-09-06,Competitor Offer,Commercial,Vi,53
35,307,2025-06-11,High Price,Commercial,None,85
36,330,2025-03-09,Personal Reasons,Other,None,32
37,341,2025-05-03,Poor Support,Service,None,23
38,347,2025-12-17,Poor Support,Service,None,38
39,360,2025-04-12,High Price,Commercial,None,5
40,375,2025-06-22,Relocation,Other,None,28
41,387,2025-11-29,Poor Network,Service,None,116
42,388,2025-02-17,Relocation,Other,None,97
43,418,2025-04-16,Poor Network,Service,None,57
44,435,2025-03-10,Competitor Offer,Commercial,Airtel,57
45,436,2025-07-25,Service Quality,Service,None,50
46,451,2025-06-14,Service Quality,Service,None,16
47,460,2025-11-13,Service Quality,Service,None,31
48,482,2025-07-10,Competitor Offer,Commercial,Vi,15
49,503,2025-11-08,Competitor Offer,Commercial,Vi,50
50,515,2025-10-15,Poor Support,Service,None,36
51,521,2025-12-06,Service Quality,Service,None,87
52,531,2025-07-08,High Price,Commercial,None,29
53,539,2025-07-19,Poor Support,Service,None,58
54,568,2025-10-29,Competitor Offer,Commercial,Airtel,20
55,569,2025-05-01,Poor Network,Service,None,5
56,588,2025-05-28,Poor Support,Service,None,101
57,601,2025-09-29,Competitor Offer,Commercial,Airtel,94
58,604,2025-06-28,Competitor Offer,Commercial,BSNL,102
59,611,2025-10-22,Poor Network,Service,None,71
60,630,2025-10-26,Poor Support,Service,None,27
61,637,2025-05-11,High Price,Commercial,None,112
62,640,2025-10-26,Competitor Offer,Commercial,Vi,76
63,644,2025-12-01,Relocation,Other,None,12
64,651,2025-04-15,Competitor Offer,Commercial,Airtel,114
65,666,2025-08-23,Personal Reasons,Other,None,59
